OWNER;TABLE_NAME;TABLE_TYPE;COMMENTS;ORIGIN_CON_ID;NUM_ROWS;ID;
COSWIN;CON_BG_COST;TABLE;Holds labour, material and miscellaneous costs for a contract, detailed by planned, unplanned and other types.;0;0;86;
COSWIN;COSTCENTRE_;TABLE;Encapsulates costcentre business objects data and behaviour;0;344;87;
COSWIN;COUNTRY_;TABLE;The Country class encapsulates data of country and currency business object.;0;26;88;
COSWIN;COUNT_;TABLE;This class encapsulates the data and the behaviour of stock count business object.;0;3038;89;
COSWIN;COUNT_INTRF;TABLE;;0;1409;90;
COSWIN;CRNCY_CONV;TABLE;The crncy_conv class encapsulates data and behaviour of conversions business object.;0;26;91;
COSWIN;DAILY_SHIFT;TABLE;;0;42;92;
COSWIN;DEL_SCHED;TABLE;Encapsulates data and behaviour for delivery schedule for purchase order items.;0;81937;93;
COSWIN;DEMAND_ISSUE_INTRF;TABLE;;0;1000;94;
COSWIN;DEMAND_ISSUE_ITEM_INTRF;TABLE;;0;85702;95;
COSWIN;DEM_ISS;TABLE;Encapsulates issue and demand business objects common data and behaviour.;0;74690;96;
COSWIN;DEM_ITEMS;TABLE;Encapsulates demand item business object data and behaviour.;0;150513;97;
COSWIN;DEM_LOC_INT;TABLE;Encapsulates demand item to location business object data and behaviour.;0;289240;98;
COSWIN;DEVIS;TABLE;This class encapsulates the data and the behaviour of devis business objects.;0;163799;99;
COSWIN;DIR_ACTION;TABLE;The dir_action class encapsulates data and behaviour of base action business object.;0;1169;100;
COSWIN;DIR_BUDG;TABLE;The dir_budg class encapsulates data and behaviour of COSWIN budgets.;0;0;101;
COSWIN;DIR_CATG;TABLE;Encapsulates category business object data and behaviour.;0;71;102;
COSWIN;DIR_CCBC;TABLE;Encapsulates data and behaviour for the intersection between costcentres and budgets.;0;0;103;
COSWIN;DIR_DEFD;TABLE;The codification class contains data and common behaviour to all codes used in COSWIN, i.e., symptoms, defects, causes, actions, to do and to do not.;0;10427;104;
COSWIN;DIR_INV_PO;TABLE;;0;72995;105;
COSWIN;DIR_JBCL;TABLE;The dir_jbcl table encapsulates data and behaviour of job class business object. All job classes must be defined in parameters.;0;2;106;
COSWIN;DIR_JBTY;TABLE;The dir_jbty table encapsulates data and behaviour of job type business object. All job types must be defined in parameters and, once an equipment job is attached to a type, it inherits the behaviour and the priority.;0;28;107;
COSWIN;DIR_MANF;TABLE; Contains data about the manufacturers fo the equipment in use.;0;220;108;
COSWIN;DIR_METER;TABLE;The dir_meter table encapsulates data and behaviour of meter business object.;0;46544;109;
COSWIN;DIR_MREAD;TABLE;The dir_mread class encapsulates data and behaviour of meter reading business object.;0;84716;110;
COSWIN;DIR_MSET;TABLE;This class keeps the directory definitions for the measurement set.;0;0;111;
COSWIN;DIR_NORM;TABLE;Keeps the definition of the measurement norms directory.;0;0;112;
COSWIN;DIR_RCT_PO;TABLE;;0;78218;113;
COSWIN;DIR_STOCK;TABLE;Encapsulates data and behaviour of spare/tools business object.;0;4982;114;
COSWIN;DIR_SUBC;TABLE;Keeps the information for a subcontractor.;0;1;115;
COSWIN;DIR_SUPP;TABLE; Maintains data refering to the suppliers for the equipment.;0;152;116;
COSWIN;DIR_UNIT;TABLE;This class describes the functionality of the function business class;0;743;117;
COSWIN;DIR_WOST;TABLE;Holds the user-defined work order states.;0;9;118;
COSWIN;DIR_ZONE;TABLE;Describes the functionality of the zone business class.;0;357;119;
COSWIN;DOS_RMK;TABLE;;0;2;120;
COSWIN;DV_CC_INT;TABLE;This class encapsulates the data and the behaviour of quotation item to costcentre business objects.;0;301759;121;
COSWIN;DV_ITEMS;TABLE;This class encapsulates the data and the behaviour of quotation item business objects.;0;297394;122;
COSWIN;DV_ITEM_OTHER;TABLE;Additional charges for a Purchase Quotation Item;0;1486970;123;
COSWIN;DV_OTHER;TABLE;Additional charges for a Purchase Quotation;0;818995;124;
