"LOCATION";"PR_LOCATION";"SYSTEM";"LOCATIONCODE";"PARENT";"DESCRIPTION";"TYPE";"STE_MIGRATIONID";"STE_MIGRATIONSOURCE";"ID"
L100000017772;;TRAIN;RTVV50/RF;RTVV50;;TRAIN;17673;FILE;249
L100000017774;;TRAIN;RTVV50/SA;RTVV50;;TRAIN;17675;FILE;250
L100000017778;;TRAIN;RTVV50/SD;RTVV50;;TRAIN;17679;FILE;251
L100000017782;;TRAIN;RTVV50/UC;RTVV50;;TRAIN;17683;FILE;252
L100000017787;;TRAIN;RTVV51/RF;RTVV51;;TRAIN;17688;FILE;253
L100000017789;;TRAIN;RTVV51/SA;RTVV51;;TRAIN;17690;FILE;254
L100000017793;;TRAIN;RTVV51/SD;RTVV51;;TRAIN;17694;FILE;255
L100000017797;;TRAIN;RTVV51/UC;RTVV51;;TRAIN;17698;FILE;256
L100000017802;;TRAIN;RTVV52/RF;RTVV52;;TRAIN;17703;FILE;257
L100000017804;;TRAIN;RTVV52/SA;RTVV52;;TRAIN;17705;FILE;258
L100000017808;;TRAIN;RTVV52/SD;RTVV52;;TRAIN;17709;FILE;259
L100000017812;;TRAIN;RTVV52/UC;RTVV52;;TRAIN;17713;FILE;260
L100000017817;;TRAIN;RTVV53/RF;RTVV53;;TRAIN;17718;FILE;261
L100000017819;;TRAIN;RTVV53/SA;RTVV53;;TRAIN;17720;FILE;262
L100000017823;;TRAIN;RTVV53/SD;RTVV53;;TRAIN;17724;FILE;263
L100000017827;;TRAIN;RTVV53/UC;RTVV53;;TRAIN;17728;FILE;264
L100000017832;;TRAIN;RTVV54/RF;RTVV54;;TRAIN;17733;FILE;265
L100000017834;;TRAIN;RTVV54/SA;RTVV54;;TRAIN;17735;FILE;266
L100000017838;;TRAIN;RTVV54/SD;RTVV54;;TRAIN;17739;FILE;267
L100000017842;;TRAIN;RTVV54/UC;RTVV54;;TRAIN;17743;FILE;268
L100000017847;;TRAIN;RTVV55/RF;RTVV55;;TRAIN;17748;FILE;269
L100000017849;;TRAIN;RTVV55/SA;RTVV55;;TRAIN;17750;FILE;270
L100000017853;;TRAIN;RTVV55/SD;RTVV55;;TRAIN;17754;FILE;271
L100000017857;;TRAIN;RTVV55/UC;RTVV55;;TRAIN;17758;FILE;272
L100000017862;;TRAIN;RTVV56/RF;RTVV56;;TRAIN;17763;FILE;273
L100000017864;;TRAIN;RTVV56/SA;RTVV56;;TRAIN;17765;FILE;274
L100000017868;;TRAIN;RTVV56/SD;RTVV56;;TRAIN;17769;FILE;275
L100000017872;;TRAIN;RTVV56/UC;RTVV56;;TRAIN;17773;FILE;276
L100000017877;;TRAIN;RTVV57/RF;RTVV57;;TRAIN;17778;FILE;277
L100000017879;;TRAIN;RTVV57/SA;RTVV57;;TRAIN;17780;FILE;278
L100000017883;;TRAIN;RTVV57/SD;RTVV57;;TRAIN;17784;FILE;279
L100000017887;;TRAIN;RTVV57/UC;RTVV57;;TRAIN;17788;FILE;280
L100000018172;;STATION;SKG/001/01061/65;SKG/001/01061;Sengkang Station Level 001 HR (X3);STATION;18073;FILE;281
L100000026294;;STATION;SKG/01/01061/65;SKG/01/01061;Sengkang Station Level 01 HR (X3);STATION;7902;FILE;282
