ID;PACKAGE_NAME;LOG_ID;EVENT;EVENT_TYPE;EVENT_DESCRIPTION;TIMESTAMP
1510;DB2_0202_Inventory_InvVendor_CLEAN;1117;INVVENDOR;MIGRATED;CNT=108196;2024-12-20-03.57.50.030000
1511;DB2_0203_Inventory_InvBalances_CLEAN;1118;INVBALANCES;MIGRATED;CNT=29767;2024-12-20-03.58.45.618000
1512;DB2_0203_Inventory_InvBalances_CLEAN;1118;INVLOT;MIGRATED;CNT=28643;2024-12-20-03.59.16.020000
1513;DB2_0204_Inventory_InvCost_CLEAN;1119;INVCOST;MIGRATED;CNT=28543;2024-12-20-03.59.53.203000
1515;DB2_0205_Inventory_MR_MRLine_CLEAN;1120;MR;NOMATCH-REQBY;CNT= 4702;2024-12-20-04.00.43.281000
1516;DB2_0205_Inventory_MR_MRLine_CLEAN;1120;MR;NOMATCH-COSTCENTER;CNT= 0;2024-12-20-04.00.43.656000
1517;DB2_0205_Inventory_MR_MRLine_CLEAN;1120;MR;MIGRATED;CNT=72952;2024-12-20-04.01.26.360000
1518;DB2_0205_Inventory_MR_MRLine_CLEAN;1120;MRLINE;NOMATCH-ITEM;CNT= 0;2024-12-20-04.02.16.530000
1519;DB2_0205_Inventory_MR_MRLine_CLEAN;1120;MRLINE;NOMATCH-COSTCENTER;CNT= 0;2024-12-20-04.02.16.952000
1520;DB2_0205_Inventory_MR_MRLine_CLEAN;1120;MRLINE;MIGRATED;CNT=146640;2024-12-20-04.04.13.940000
1521;DB2_0206_Inventory_InvTrans;1121;INVTRANS;NOMATCH-ITEM;CNT=0;2024-12-20-04.05.14.957000
1522;DB2_0206_Inventory_InvTrans;1121;LOG;ASSET-COSTCENTER-NOMATCH;CNT= 0;2024-12-20-04.05.15.211000
1523;DB2_0206_Inventory_InvTrans;1121;INVTRANS;MIGRATED;CNT=30314;2024-12-20-04.05.15.592000
1524;DB2_0301_PO_Contract_ContractLine_CLEAN;1122;CONTRACT;MIGRATED;CNT=98;2024-12-20-04.06.01.490000
1525;DB2_0301_PO_Contract_ContractLine_CLEAN;1122;CONTRACTLINE;MIGRATED;CNT=388;2024-12-20-04.06.08.418000
1526;DB2_0301_PO_Contract_ContractLine_CLEAN;1122;CONTRACTLINE;NOMATCH-ITEM;CNT=0;2024-12-20-04.06.08.423000
1527;DB2_0301_PO_Contract_ContractLine_CLEAN;1122;CONTRACTAUTH;MIGRATED;CNT=98;2024-12-20-04.06.11.482000
1528;DB2_0302_PO_Contract_ContractLine_Blanket_CLEAN;1123;CONTRACT-BLANKET;NOMATCH-REQBY;CNT= 2;2024-12-20-04.06.28.125000
1529;DB2_0302_PO_Contract_ContractLine_Blanket_CLEAN;1123;CONTRACT-BLANKET;NOMATCH-AMDBY;CNT= 1;2024-12-20-04.06.28.331000
1530;DB2_0302_PO_Contract_ContractLine_Blanket_CLEAN;1123;CONTRACT;MIGRATED;CNT=5;2024-12-20-04.06.28.553000
1531;DB2_0302_PO_Contract_ContractLine_Blanket_CLEAN;1123;CONTRACTLINE;MIGRATED;CNT=5;2024-12-20-04.06.35.481000
1532;DB2_0302_PO_Contract_ContractLine_Blanket_CLEAN;1123;CONTRACTLINE;NOMATCH-ITEM;CNT=0;2024-12-20-04.06.35.496000
1533;DB2_0302_PO_Contract_ContractLine_Blanket_CLEAN;1123;CONTRACTAUTH;MIGRATED;CNT=5;2024-12-20-04.06.38.812000
1534;DB2_0303_PO_PR_PRLine_PRCost_CLEAN;1124;PR;NOMATCH-REQBY;CNT= 52;2024-12-20-04.07.01.871000
1535;DB2_0303_PO_PR_PRLine_PRCost_CLEAN;1124;PR;MIGRATED;CNT=60190;2024-12-20-04.07.34.641000
1536;DB2_0303_PO_PR_PRLine_PRCost_CLEAN;1124;PRLINE;NOMATCH-PR;CNT= 0;2024-12-20-04.08.28.745000
