"STE_ITEMGROUP"
AFC
AMS
BATTERY
BDGSER_LRT
BLDG/STR
BLDGEQP
CHEMICAL
CLEAN
CM
COMMS
COMMS_A
COMMS_LRT
COMPACCESS
DEPOT
DEPOT_BMS
DEPOT_E
DIRPURCH
DN/INFRA
DN/LRT
DN/RS
DSMS
EAM-BMS
EAM-ECS
EAM-ELE
EAM-FAS
EAM-FPS
EAM-IGS
EAM/ELE
ECS
ECS_DEPOT
ECS_LINE
EEL
EIFS
ELE
EMU
EMU_A
EMU_C
EMU_E
EMU_MLU
EPL_LINE
ES_DEPOT
ES_LINE
ES_SERVICE
ES_SPARES
EVENT_SUPP
FAC_LRT
FPE_DEPOT
FPE_LINE
FPS
FREI_INSUR
FRS
FRS-FSH
FSH-02
FSH/RSH
FURNITURE
GASES
GATE_NEL
GATE_SPLRT
GTM_AS
GTM_CU
HAZARDOUS
HCV
INFRA_LRT
ISCS
LAE
LIFT_DEPOT
LOCO
LRST
MECH
MECH_SPARE
MECH_SVC
MFV
MITSUI
MMS
MN/C&S
MN/INFRA
MN/OPS
MN/POW
MN/SIG
MN/SS
MS_DEPOT
NEDELE
OA
OCS
OFSUPPLIES
POL
POWER
POWOCS
POW_LRT
POW_LRT_A
PROJECT
PSD
PSM
PS_DEPOT
PUBLICATIO
PWY_LRT
RECON
REPAIRWORK
RERAIL
RGV
RGV_INF
RSH-02
RSH-06
RSH-FSH
RSH-SH
RSH.SH
RS_LRT
RS_LRT_A
SAFETY
SALE_SCRAP
SCDF
SCS
SCS`
SIG
SIG_A
SIG_C
SIG_LRT
SIG_LRT_A
SIG_LRT_C
SM
SMP
SWP
TERM_AGREE
TEST
TOOLS
TOOS
TRACK
TYRES
VPIS
VPIS_LRT
WAGON
WAGONMOD
WS/CW1
WS/CW2
WS/CW3
WS/CW4
WS/CW5
WS/GE1
WS/GE10
WS/GE11
WS/GE12
WS/GE13
WS/GE2
WS/GE3
WS/GE4
WS/GE5
WS/GE6
WS/GE7
WS/GE8
WS/GE9
WS/ME1
WS/ME10
WS/ME2
WS/ME3
WS/ME4
WS/ME5
WS/ME7
WS/ME8
WS/ME9
WS/MECH
WS/MW1
WS/MW2
WS/MW3
WWT_DEPOT
\
ecs
lae
lrst
ocs

