ID;PACKAGE_NAME;LOG_ID;EVENT;EVENT_TYPE;EVENT_DESCRIPTION;TIMESTAMP
1905;DB2_0205_Inventory_MR_MRLine_CLEAN;1250;MR;NOMATCH-REQBY;CNT= 3895;2024-12-01-14.55.20.210000
1906;DB2_0205_Inventory_MR_MRLine_CLEAN;1250;MR;NOMATCH-COSTCENTER;CNT= 0;2024-12-01-14.55.20.639000
1907;DB2_0205_Inventory_MR_MRLine_CLEAN;1250;MR;MIGRATED;CNT=74690;2024-12-01-14.56.19.578000
1908;DB2_0205_Inventory_MR_MRLine_CLEAN;1250;MRLINE;NOMATCH-ITEM;CNT= 0;2024-12-01-14.57.35.053000
1909;DB2_0205_Inventory_MR_MRLine_CLEAN;1250;MRLINE;NOMATCH-COSTCENTER;CNT= 0;2024-12-01-14.57.35.741000
1910;DB2_0205_Inventory_MR_MRLine_CLEAN;1250;MRLINE;MIGRATED;CNT=150513;2024-12-01-15.00.51.629000
1911;DB2_0206_Inventory_InvTrans;1251;INVTRANS;NOMATCH-ITEM;CNT=0;2024-12-01-15.02.00.597000
1912;DB2_0206_Inventory_InvTrans;1251;INVTRANS;NOMATCH-COSTCENTER;CNT= 0;2024-12-01-15.02.00.910000
1913;DB2_0206_Inventory_InvTrans;1251;INVTRANS;MIGRATED;CNT=31434;2024-12-01-15.02.01.301000
1914;DB2_0301_PO_Contract_ContractLine_CLEAN;1252;CONTRACT;MIGRATED;CNT=98;2024-12-01-15.03.05.034000
1915;DB2_0301_PO_Contract_ContractLine_CLEAN;1252;CONTRACTLINE;MIGRATED;CNT=388;2024-12-01-15.03.12.081000
1916;DB2_0301_PO_Contract_ContractLine_CLEAN;1252;CONTRACTLINE;NOMATCH-ITEM;CNT=0;2024-12-01-15.03.12.097000
1917;DB2_0301_PO_Contract_ContractLine_CLEAN;1252;CONTRACTAUTH;MIGRATED;CNT=98;2024-12-01-15.03.15.409000
1918;DB2_0302_PO_Contract_ContractLine_Blanket_CLEAN;1253;CONTRACT-BLANKET;NOMATCH-REQBY;CNT= 0;2024-12-01-15.03.31.221000
1919;DB2_0302_PO_Contract_ContractLine_Blanket_CLEAN;1253;CONTRACT-BLANKET;NOMATCH-AMDBY;CNT= 1;2024-12-01-15.03.31.440000
1920;DB2_0302_PO_Contract_ContractLine_Blanket_CLEAN;1253;CONTRACT-BLANKET;MIGRATED;CNT=5;2024-12-01-15.03.31.643000
1921;DB2_0302_PO_Contract_ContractLine_Blanket_CLEAN;1253;CONTRACTLINE;NOMATCH-ITEM;CNT=0;2024-12-01-15.03.38.862000
1922;DB2_0302_PO_Contract_ContractLine_Blanket_CLEAN;1253;CONTRACTLINE;MIGRATED;CNT=5;2024-12-01-15.03.38.862000
1923;DB2_0302_PO_Contract_ContractLine_Blanket_CLEAN;1253;CONTRACTAUTH;MIGRATED;CNT=5;2024-12-01-15.03.41.675000
1924;DB2_0303_PO_PR_PRLine_PRCost_CLEAN;1254;PR;NOMATCH-REQBY;CNT= 0;2024-12-01-15.04.02.471000
1925;DB2_0303_PO_PR_PRLine_PRCost_CLEAN;1254;PR;MIGRATED;CNT=61117;2024-12-01-15.04.55.486000
1926;DB2_0303_PO_PR_PRLine_PRCost_CLEAN;1254;PRLINE;NOMATCH-PR;CNT= 0;2024-12-01-15.06.05.251000
1927;DB2_0303_PO_PR_PRLine_PRCost_CLEAN;1254;PRLINE;NOMATCH-COSTCENTER;CNT= 0;2024-12-01-15.06.05.939000
1928;DB2_0303_PO_PR_PRLine_PRCost_CLEAN;1254;PRLINE;NOMATCH-SAPGL;CNT= 158;2024-12-01-15.06.06.204000
1930;DB2_0303_PO_PR_PRLine_PRCost_CLEAN;1254;PRLINE;MIGRATED;CNT=95668;2024-12-01-15.08.23.734000
1931;DB2_0303_PO_PR_PRLine_PRCost_CLEAN;1254;PRLINE;NOMATCH-ITEM;CNT= 0;2024-12-01-15.08.23.734000
1934;DB2_0304_PO_RFQ_RFQLine_CLEAN;1256;RFQ;MIGRATED;CNT=163799;2024-12-01-15.12.56.325000
1935;DB2_0304_PO_RFQ_RFQLine_CLEAN;1256;RFQLINE;NOMATCH-COSTCENTER;CNT= 0;2024-12-01-15.15.57.073000
1936;DB2_0304_PO_RFQ_RFQLine_CLEAN;1256;RFQLINE;NOMATCH-SAPGL;CNT= 929;2024-12-01-15.17.23.963000
1938;DB2_0304_PO_RFQ_RFQLine_CLEAN;1256;RFQLINE;NOMATCH-ITEM;CNT= 0;2024-12-01-15.19.48.321000
1939;DB2_0304_PO_RFQ_RFQLine_CLEAN;1256;RFQLINE;MIGRATED;CNT=297394;2024-12-01-15.19.48.321000
1940;DB2_0305_PO_RFQVendor_QuotationLine_CLEAN;1257;RFQVENDOR;MIGRATED;CNT=119082;2024-12-01-15.22.01.772000
1941;DB2_0305_PO_RFQVendor_QuotationLine_CLEAN;1257;QUOTATIONLINE;MIGRATED;CNT=219810;2024-12-01-15.26.37.144000
1942;DB2_0306_PO_PO_POLine_POCost_CLEAN;1258;PO;NOMATCH-REQBY;CNT= 12;2024-12-01-15.27.37.816000
1943;DB2_0306_PO_PO_POLine_POCost_CLEAN;1258;PO;MIGRATED;CNT=53920;2024-12-01-15.28.06.894000
1944;DB2_0306_PO_PO_POLine_POCost_CLEAN;1258;POLINE;NOMATCH-AMDBY;CNT= 7487;2024-12-01-15.29.15.065000
1945;DB2_0306_PO_PO_POLine_POCost_CLEAN;1258;POLINE;NOMATCH-COSTCENTER;CNT= 0;2024-12-01-15.29.15.815000
1946;DB2_0306_PO_PO_POLine_POCost_CLEAN;1258;POLINE;NOMATCH-SAPGL;CNT= 106;2024-12-01-15.29.16.143000
1948;DB2_0306_PO_PO_POLine_POCost_CLEAN;1258;POLINE;MIGRATED;CNT=81988;2024-12-01-15.31.01.235000
1949;DB2_0306_PO_PO_POLine_POCost_CLEAN;1258;POLINE;NOMATCH-ITEM;CNT= 0;2024-12-01-15.31.01.251000
1951;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1260;INVOICE;NOMATCH-REQBY;CNT= 96;2024-12-01-15.34.53.186000
1952;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1260;INVOICE;MIGRATED;CNT=72995;2024-12-01-15.36.01.326000
1953;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1260;INVOICE (NEG-INV);MIGRATED;CNT=1521;2024-12-01-15.37.11.966000
1954;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1260;INVOICELINE;NOMATCH-REQBY;CNT= 103;2024-12-01-15.37.53.294000
1959;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1260;INVOICELINE;MIGRATED;CNT=98301;2024-12-01-15.39.15.027000
1960;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1260;INVOICELINE;NOMATCH-ITEM;CNT=0;2024-12-01-15.39.15.027000
1961;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1260;INVOICECOST;NOMATCH-COSTCENTER;CNT= 0;2024-12-01-15.40.10.667000
1962;DB2_0307_PO_Invoice_InvoiceLine_InvoiceCost_CLEAN;1260;INVOICECOST;NOMATCH-SAPGL;CNT= 41;2024-12-01-15.40.10.871000
